id,firstname,lastname,age
1,Ana,García,35
2,Juan,Rodríguez,22
3,Laura,Martínez,45
4,Carlos,López,18
5,Sofía,Pérez,70
6,Luis,Sánchez,38
7,Elena,Gómez,50
8,Pedro,Fernández,29
9,Diego,Ramírez,65
10,María,Díaz,42
11,Diego,López,20
12,Ana,Fernández,55
13,Sofía,Martínez,33
14,Carlos,Ramírez,26
15,Luis,Gómez,48
16,María,Sánchez,15
17,Juan,Díaz,72
18,Diego,Rodríguez,30
19,Elena,García,44
20,Pedro,Pérez,19
21,Carlos,Sánchez,60
22,Laura,Ramírez,28
23,Juan,Fernández,39
24,Ana,Gómez,14
25,Pedro,Díaz,50
26,Luis,Martínez,23
27,Diego,Sánchez,35
28,Elena,Pérez,80
29,Sofía,Gómez,17
30,María,Ramírez,47
31,Laura,García,32
32,Juan,Pérez,25
33,Carlos,Fernández,37
34,Sofía,Ramírez,55
35,Diego,Díaz,21
36,Ana,Martínez,65
37,Pedro,Sánchez,40
38,Elena,Gómez,16
39,Luis,Pérez,22
40,Juan,Fernández,50
41,Sofía,Rodríguez,18
42,María,López,34
43,Carlos,Martínez,23
44,Diego,Sánchez,42
45,Laura,Díaz,19
46,Elena,García,30
47,Pedro,Rodríguez,48
48,Juan,Pérez,25
49,Sofía,Sánchez,29
50,María,Ramírez,60
51,Carlos,Gómez,27
52,Luis,Díaz,35
53,Diego,Fernández,44
54,Ana,Pérez,14
55,Laura,Rodríguez,52
56,Elena,Martínez,25
57,Pedro,Sánchez,39
58,Sofía,Gómez,20
59,Juan,Fernández,36
60,Carlos,Rodríguez,70
61,Luis,García,28
62,Ana,Martínez,31
63,Elena,Sánchez,24
64,María,Fernández,38
65,Pedro,Ramírez,49
66,Sofía,Díaz,15
67,Carlos,Martínez,33
68,Juan,López,55
69,Laura,García,17
70,Diego,Rodríguez,45
71,Ana,Pérez,22
72,Luis,Martínez,29
73,Carlos,Fernández,40
74,Elena,Sánchez,31
75,Pedro,Rodríguez,18
76,Sofía,Gómez,28
77,María,Díaz,50
78,Juan,Rodríguez,22
79,Diego,Sánchez,19
80,Laura,Martínez,60
81,Carlos,Fernández,25
82,Sofía,Ramírez,35
83,Ana,Pérez,70
84,Luis,García,27
85,Juan,Rodríguez,42
86,Elena,Martínez,21
87,Pedro,López,38
88,Sofía,Sánchez,45
89,Diego,Fernández,50
90,María,Díaz,32
91,Laura,Gómez,28
92,Carlos,Martínez,19
93,Juan,Sánchez,24
94,Pedro,Ramírez,33
95,Elena,Pérez,55
96,Sofía,Fernández,40
97,Luis,García,20
98,María,Rodríguez,45
99,Carlos,Sánchez,31
